timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681732455061,415,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,499,450,1,1,https://www.boredapi.com/api/activity/,415,0,277
1681732455059,415,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,499,450,1,1,null,415,58,277
1681732461059,142,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,514,450,1,1,https://www.boredapi.com/api/activity/,142,0,0
1681732455532,142,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,514,450,1,1,null,142,5530,0
1681732467060,151,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,488,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732461204,151,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,488,450,1,1,null,151,5856,0
1681732473060,165,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,481,450,1,1,https://www.boredapi.com/api/activity/,165,0,0
1681732467212,165,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,481,450,1,1,null,165,5849,0
1681732479060,154,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,528,450,1,1,https://www.boredapi.com/api/activity/,154,0,0
1681732473226,154,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,528,450,1,1,null,154,5836,0
1681732485060,146,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,507,450,1,1,https://www.boredapi.com/api/activity/,145,0,0
1681732479216,146,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,507,450,1,1,null,145,5845,0
1681732491060,139,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,493,450,1,1,https://www.boredapi.com/api/activity/,139,0,0
1681732485207,139,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,493,450,1,1,null,139,5855,0
1681732497060,155,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,505,450,1,1,https://www.boredapi.com/api/activity/,155,0,0
1681732491201,155,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,505,450,1,1,null,155,5861,0
1681732503059,157,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,483,450,1,1,https://www.boredapi.com/api/activity/,157,0,0
1681732497217,157,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,483,450,1,1,null,157,5843,0
1681732509060,155,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,499,450,1,1,https://www.boredapi.com/api/activity/,155,0,0
1681732503217,155,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,499,450,1,1,null,155,5845,0
1681732515059,143,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,499,450,1,1,https://www.boredapi.com/api/activity/,143,0,0
1681732509217,143,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,499,450,1,1,null,143,5845,0
1681732521061,482,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,505,450,1,1,https://www.boredapi.com/api/activity/,482,0,343
1681732515204,482,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,505,450,1,1,null,482,5857,343
1681732527059,150,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,483,450,1,1,https://www.boredapi.com/api/activity/,149,0,0
1681732521544,150,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,483,450,1,1,null,149,5516,0
1681732533074,151,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,501,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732527210,151,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,501,450,1,1,null,151,5865,0
1681732539069,151,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,475,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732533226,151,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,475,450,1,1,null,151,5845,0
1681732545064,152,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,507,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732539222,152,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,507,450,1,1,null,151,5844,0
1681732551059,153,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,490,450,1,1,https://www.boredapi.com/api/activity/,153,0,0
1681732545218,153,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,490,450,1,1,null,153,5843,0
1681732557068,220,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,479,450,1,1,https://www.boredapi.com/api/activity/,220,0,0
1681732551213,220,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,479,450,1,1,null,220,5856,0
1681732563060,158,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,497,450,1,1,https://www.boredapi.com/api/activity/,158,0,0
1681732557290,158,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,497,450,1,1,null,158,5772,0
1681732569061,151,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,477,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732563219,151,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,477,450,1,1,null,151,5843,0
1681732575071,156,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,485,450,1,1,https://www.boredapi.com/api/activity/,156,0,0
1681732569214,156,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,485,450,1,1,null,156,5859,0
1681732581074,486,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,501,450,1,1,https://www.boredapi.com/api/activity/,486,0,341
1681732575229,486,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,501,450,1,1,null,486,5847,341
1681732587073,156,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,491,450,1,1,https://www.boredapi.com/api/activity/,156,0,0
1681732581562,156,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,491,450,1,1,null,156,5514,0
1681732593063,155,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,528,450,1,1,https://www.boredapi.com/api/activity/,155,0,0
1681732587232,155,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,528,450,1,1,null,155,5833,0
1681732599072,160,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,491,450,1,1,https://www.boredapi.com/api/activity/,160,0,0
1681732593220,160,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,491,450,1,1,null,160,5852,0
1681732605067,158,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,492,450,1,1,https://www.boredapi.com/api/activity/,158,0,0
1681732599233,158,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,492,450,1,1,null,158,5836,0
1681732611064,154,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,517,450,1,1,https://www.boredapi.com/api/activity/,154,0,0
1681732605227,154,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,517,450,1,1,null,154,5839,0
1681732617065,155,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,486,450,1,1,https://www.boredapi.com/api/activity/,155,0,0
1681732611220,155,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,486,450,1,1,null,155,5848,0
1681732623062,153,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,494,450,1,1,https://www.boredapi.com/api/activity/,153,0,0
1681732617222,153,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,494,450,1,1,null,153,5841,0
1681732629062,155,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,478,450,1,1,https://www.boredapi.com/api/activity/,155,0,0
1681732623218,155,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,478,450,1,1,null,155,5846,0
1681732635063,162,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,493,450,1,1,https://www.boredapi.com/api/activity/,162,0,0
1681732629219,162,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,493,450,1,1,null,162,5846,0
1681732641062,156,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,472,450,1,1,https://www.boredapi.com/api/activity/,156,0,0
1681732635227,156,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,472,450,1,1,null,156,5836,0
1681732647074,469,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,499,450,1,1,https://www.boredapi.com/api/activity/,469,0,332
1681732641220,469,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,499,450,1,1,null,469,5855,332
1681732653071,157,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,478,450,1,1,https://www.boredapi.com/api/activity/,157,0,0
1681732647544,157,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,478,450,1,1,null,157,5528,0
1681732659074,148,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,501,450,1,1,https://www.boredapi.com/api/activity/,148,0,0
1681732653229,148,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,501,450,1,1,null,148,5846,0
1681732665070,149,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,480,450,1,1,https://www.boredapi.com/api/activity/,149,0,0
1681732659224,149,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,480,450,1,1,null,149,5849,0
1681732671067,161,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,480,450,1,1,https://www.boredapi.com/api/activity/,161,0,0
1681732665221,161,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,480,450,1,1,null,161,5846,0
1681732677067,156,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,502,450,1,1,https://www.boredapi.com/api/activity/,156,0,0
1681732671229,156,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,502,450,1,1,null,156,5840,0
1681732683061,145,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,501,450,1,1,https://www.boredapi.com/api/activity/,145,0,0
1681732677225,145,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,501,450,1,1,null,145,5838,0
1681732689066,154,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,492,450,1,1,https://www.boredapi.com/api/activity/,154,0,0
1681732683208,154,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,492,450,1,1,null,154,5860,0
1681732695070,152,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,502,450,1,1,https://www.boredapi.com/api/activity/,151,0,0
1681732689221,152,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,502,450,1,1,null,151,5849,0
1681732701066,149,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,497,450,1,1,https://www.boredapi.com/api/activity/,149,0,0
1681732695223,149,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,497,450,1,1,null,149,5844,0
1681732707073,153,Activity_GET,200,OK,BoredAPI Thread Group 1-1,text,true,,503,450,1,1,https://www.boredapi.com/api/activity/,153,0,0
1681732701216,153,UC_01_BoredAPI_ActivityGet,200,"Number of samples in transaction : 1, number of failing samples : 0",BoredAPI Thread Group 1-1,,true,,503,450,1,1,null,153,5879,0
